Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
;867; A. V. Ezhov, Kisova, N.E.;2008; Bulletin IPY;" Ornithological expedition to the Rybachiy Peninsula at the seabird colony ""Gorodetskie ptichi bazary""";;;21-22;22-23;;" Ornithological expedition to the Rybachiy Peninsula at the seabird colony ""Gorodetskie ptichi bazary""";;;; Russian;
;924; A. V. Ezhov;;; Results of a study of kittiwake nutrition during the breeding season in the Murman colonies;;2008;;44-47;22-23 May; Results of a study of kittiwake nutrition during the breeding season in the Murman colonies;;;; Russian;
;923; N. Y. Ivanenko;;;Avifauna of the Kola Bay in March 2007;;2008;;58-64;22-23 May;Avifauna of the Kola Bay in March 2007;;;; Russian;
;794; V. N. M. Kalyakin, O.L.;2008;;Results of analysis of bird pellets collected on Dolgiy Island, the Barents Sea (690 12' N 590 13' E);; Moscow;35;130-131;;Results of analysis of bird pellets collected on Dolgiy Island, the Barents Sea (690 12' N 590 13' E);; Barents Sea, Dolgiy Island, Glaucous Gull, Feeding;; Russian;
;793; Y. V. G. Krasnov, M.V. Strøm, H. Shavykin, A.A.;2008;;Distribution of birds on Kolguev island and adjacent Barents sea areas during late summer 2003;; Moscow;35;83-96;;Distribution of birds on Kolguev island and adjacent Barents sea areas during late summer 2003;; Barents Sea, Kolguev Island, Seabirds distribution, Seabirds conservation;"Information that adds to the knowledge on bird fauna and species distribution on Kolguev Island and adjacent waters of the Barents Sea was obtained during land based and aerial surveys conducted in late August 2003. The Great Cormorant (Phalacrocorax carbo) and Great Skua (Stercorarius skua) were recorded for the first time in the region. Areas of mass waterfowl aggregations proceeding the autumn migration are revealed. Data on distribution patterns and abundance of geese, sea ducks, gulls and skuas along the coastline of Kolguev Island, at the shallows south off the island, and on inland tundra are presented. Vulnerability of birds to possible oil spills is discussed; most sensitive species and sites of their concentration are listed."; Russian with English summ;
;801; A. E. Cherenkov, Semashko, V.Yu., Tertitsky, G.M.;2009;; Bird migration at the Onega Bay, White Sea; Study of the dynamics of Migratory Bird Populations and its Trends in North-West Russia; St-Petersburg;7;5-57;; Bird migration at the Onega Bay, White Sea;; White Sea, bird migration;The authors carried out ornithological observations at the Onega Bay, White Sea from 1983 to 2008. The observations covered all seasons. Most of the data were collected from the Solovetsky Archipelago, the rest — from summer and autumn trips to islands of the bay. In addition, published data collected in the 1950s—1970s by Kandalakshsky reserve staff, and results of Russian-Finnish expeditions to the White Sea in 1999 and 2004 were used. The paper reports data on 118 bird species of 12 orders. Each species review tells about characteristics of spring and autumn migrations, flyways and stopovers, migrant abundances, dates of passage.; Russian;
;816; A. V. Ezhov;2009; Doklady academii nauk (Doklady Biological Sciences);Current state of the populations of black-legged kittiwakes Rissa tridactyla L., 1758 and guillemots Uria aalge Pontoppidan, 1763 and Uria lomvia L., 1758 in colonies on the Murman coast;;;426;232-235;;Current state of the populations of black-legged kittiwakes Rissa tridactyla L., 1758 and guillemots Uria aalge Pontoppidan, 1763 and Uria lomvia L., 1758 in colonies on the Murman coast;;;"The first studies on colonial birds on the Murman coast were carried out in the early 20th century. However, most of these studies were made in bird colonies located on the Sem’ Ostrovov archipelago, as described in publications by a number of authors [1‐5]. Data on other large colonies of sea birds are still fragmentary and scarce, because ornithological observations and censuses have been performed rarely there [2]. At the same time, the size and species composition of the ornithofauna and the geographic location of colonies in the continental part of Murman make the results of studies in this region of considerable interest for understanding processes in bird populations of the southern Barents Sea. Therefore, we carried out regular studies in three largest colonies of sea birds on the Murman coast. The Gorodetskie Ptich’i Bazary colony is located on Cape Gorodetskii of the Rybachii Peninsula; this is the westernmost colony in the Russian sector of the Barents Sea. The colony of Dvorovaya Bay is located at the eastern boundary of the nesting area of black-legged kittiwakes on the Murman coast, and the Mys Krutik colony is on Cape Krutik in the center of the Kola Peninsula coast, at equal distances from the Gorodetskie Ptich’i Bazary colony and the colony of Dvorovaya Bay. The studies were performed from June to late July every year from 2000 to 2008. The data on the Gorodetskie Ptich’i Bazary colony for the years 2000 and 2002 were kindly provided by Yu.I. Goryaev. The main purposes of the study were estimation of the current state of the nesting sites of black-legged kittiwakes and guillemots, evaluation of the numbers of birds reproducing in them, analysis of the trophic conditions during the nesting period, and determination of the trends in bird development in these colonies. The census of nesting black-legged kittiwakes was performed by means of panoramic photographing of the colonies followed by analysis of the number of inhabited nests. This method of census minimizes the percentage of errors and provides the most accurate data on the number of nesting birds. The numbers of guillemots of both species were visually estimated by observing the colonies through field glasses. The numbers and species of the birds were recorded. The results have shown that the largest black-legged kittiwake colonies are located on the Rybachii Peninsula and in Dvorovaya Bay. The current number of birds of this species in each of these colonies is more than 25 000 pairs. Regarding the third colony (on Cape Krutik of the Kola coast), its current size no more than 3000 pairs (Table 1).";;
  Journal Article;831; M. V. Gavrilo;2009; Problemy Arktiki i Antarktiki (Arctic and Antarctic Research); Breeding distribution of ivory gull in the Russian Arctic: difficulty when studying range of a rare and sporadically breeding high arctic species. ;;;3;127-151;; Breeding distribution of ivory gull in the Russian Arctic: difficulty when studying range of a rare and sporadically breeding high arctic species. ;;;; Russian;
;866; M. V. Gavrilo;2009; Bulletin of IPY;Population status of polar seabirds and marine mammals: first results from AARI biological works during IPY 2007/08;;;24;26-29;;Population status of polar seabirds and marine mammals: first results from AARI biological works during IPY 2007/08;;;; Russian;
;818; Y. V. Krasnov, Shklyarevich, G.A., Goryaev, Yu.I.;2009; Casarca; Feeding by moulting King Eiders in the shallow waters of the southeastern part of the Pechora Sea;;;12;68-75;; Feeding by moulting King Eiders in the shallow waters of the southeastern part of the Pechora Sea;;;Fifty-three samples of King Eider (Somateria spectabilis) faeces were collected in the sea-duck moulting area near Dolgiy Island in the southeastern part of the Pechora Sea (south-eastern part of the Barents Sea). Examination of the samples revealed that the diet of this species consisted of eight groups of food objects, and was based on benthic invertebrates. Mollusks (100 %) and polychaetes (62.3 %) were found most frequently. Blue or common mussels (Mytilus edulis) were found in all samples, although this species is uncommon in the benthic community of the study area. Indeed, blue mussels comprised only 21.7 % of all food items found in the faeces. It is suggested that the proportion of polychaetes and crustaceans in the diet of King Eiders was underestimated because of the their greater digestibility. On the whole, the foraging strategy of King Eiders is assumed to be to feed on mollusks and polychaetes, the most numerous benthic groups in the study area. It is also assumed that commercial oil extraction in the area would negatively affect benthic food abundance and availability and, hence, result in a decrease in the abundance of the King Eider population.; Russian;
;821; Y. V. Krasnov, Shklyarevich, G.A., Goryaev, Yu.I.;2009; Doklady academii nauk (Doklady Biological Sciences); Nature  and feeding features of the Common Eider Somateria mollissima in the White Sea;;;427;282-285;; Nature  and feeding features of the Common Eider Somateria mollissima in the White Sea;;;; Russian;
;925; Y. V. Krasnov, Goryaev, Yu.I.;2009;; Fauna of seabirds and waterfowl;; Moscow;;264-284;; Fauna of seabirds and waterfowl;;;; Russian;
;803; V. A. Andreev;2010;; Main places of aggregations and migration routes of birds in the Dvina Bay of the White Sea in spring; Study of the dynamics of Migratory Bird Populations and its Trends in North-West Russia; St.-Petersburg;8;6-13;; Main places of aggregations and migration routes of birds in the Dvina Bay of the White Sea in spring;; White Sea, bird migration;"The Dvina Bay of the White Sea serves as the site for the largest stopovers of waterfowl on the White Sea-Baltic migration flyway. Places of mass spring aggregations of birds are located in different parts of pre-estuary and delta of the Severnaya Dvina River and adjoining areas of the Dvina Bay. Anser species and the Barnacle Goose stop mainly on haylands of the Zaostrov’e, Krasnoflotsky, and Uemsky Islands and in the fields of the former agricultural enterprise «Belomorsky». Stopovers of these species exist from the last ten days period of April to early June with the peak in numbers of staging birds in the second or third ten days period of May. The most abundant species are the White-fronted and Barnacle Geese. The number of birds observed  simultaneously on stopover site reaches 40-60 thousand. Average stopover duration for an individual is 4-6 days. Every year up to 120-130 Lesser White-fronted Geese are observed. Staging Geese spend on feeding about 50 % of time. Stopover sites for the Brent Goose are confined to the bays where its main forage plant—sea wrack—is found: Sukhoe More and Unskaya within the Dvina Bay and Ukhta in the Onega Bay of the White Sea. The number of birds observed simultaneously was up to 15000; average stopover duration for an individual was 3—5 days. Main stopover sites for the Bewick’s Swan were revealed in the Sukhoe More and Unskaya Bays and other shallow areas of pre-estuary and delta of the Severnaya Dvina River. Numbers of the Bewick’s Swan on stopover peaked in the second ten days period of May. The number of birds observed simultaneously was between 2 and 5,8 thousand in different years. The main forage plants for this species are pondweed, sea wrack and charophytes. Swans spend on feeding 31—66 % of time."; Russian;
;807; V. A. Andreev;2010; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); Wintering of the glaucous gull Larus hyperboreus in Archangelsk and adjacent territories ;;;19;242-243;; Wintering of the glaucous gull Larus hyperboreus in Archangelsk and adjacent territories ;; White Sea, Glaucous Gull;; Russian;
;862; A. V. Ezhov;;; The status of bird colonies on Murman coast;;2010;;70-71;; The status of bird colonies on Murman coast;;;; Russian;
;869; M. V. Gavrilo;;; Nesting habitats of the ivory gulls (Pagophila eburnea) in the Russian Arctic. ;;2010;;92-93;; Nesting habitats of the ivory gulls (Pagophila eburnea) in the Russian Arctic. ;;;;;
  Conference Proceedings;876; M. V. Gavrilo, Smolyanitsky, V.M. ;;; Breeding range of the ivory gull Pagophila eburnea in Russia and sea ice conditions.;;2010;;192-193;; Breeding range of the ivory gull Pagophila eburnea in Russia and sea ice conditions.;;;; Russian;
;877; M. V. Gavrilo, Volkov, A.E., Ivanov, M.N.;;; Birds of Hayes Island, Franz Josef Land Archipelago;;2010;;49-56;27-30 October 2010; Birds of Hayes Island, Franz Josef Land Archipelago;;;;;
  Journal Article;834; Y. I. Goryaev, Tatarinkova, I.P.;2010; Problemy regionalnoi ekologii (Regional Environmental Issues); To the assessment of synanthropic tendencies of some species of gulls of the genus Larus on Murman under conditions of depression of their food supply;;;5;138-144;; To the assessment of synanthropic tendencies of some species of gulls of the genus Larus on Murman under conditions of depression of their food supply;;;In the spring-summer period of 2008-2009, the features of the ecology of the group of Herring and Great Black-backed gulls (Larus argentatus and L. marinus), actively using the anthropogenic landscape near the coast of the Kola Bay, were studied. The total number, seasonal activity of visiting the anthropogenic landscape by various age groups of birds, as well as some aspects of the nesting ecology - the density of colonies, characteristics of the clutch, nutrition and survival of chicks were determined; Russian;
;922; Y. I. Goryaev;;; Some aspects of the synanthropic ecology of the herring gull (Larus argentatus) and great black-backed gull (Larus marinus) on the Murman coast;;2010;;50-51;10-12 March; Some aspects of the synanthropic ecology of the herring gull (Larus argentatus) and great black-backed gull (Larus marinus) on the Murman coast;;;; Russian;
;863; N. Y. Ivanenko;;;Winter counts of the common eider on the Western Murman coast and in Kola Inlet in 2005–2007.;;2010;;85;10-12 March;Winter counts of the common eider on the Western Murman coast and in Kola Inlet in 2005–2007.;;;; Russian;
;864; Y. V. Krasnov, Gavrilo,  M.V.,  Shavykin,  A.A.,  Vashchenko,  P.S. ;;;Bird fauna of the White Sea in winter (results of aerial observations in March 2009);;2010;;238-239;10-12 March;Bird fauna of the White Sea in winter (results of aerial observations in March 2009);;;; Russian;
;809; N. V. Lapshin, Khrabry, V.M. ;2010; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); The record of the fulmar Fulmarus glacialis in Onega gulf of the White Sea;;;19;1762-1765;; The record of the fulmar Fulmarus glacialis in Onega gulf of the White Sea;; White Sea, Fulmar;; Russian;
;819; A. A. Pavlenko, Klepikovskii, R.N., Grekov, A.A., Klyuev, A.I.;2010;; Estimated by-catch of birds in the Russian bottom hook-line longline fishery in the Barents Sea.;" Technical Report Series ""Towards inexhaustible fishing"""; Murmansk;3;32;; Estimated by-catch of birds in the Russian bottom hook-line longline fishery in the Barents Sea.;;;; Russian;
;802; V. Y. Semashko, Tertitsky, G.M., Cherenkov, A.E.;2010;;Results of observations on the spring passage at the Solovetsky Archipelago in 2009; Study of the dynamics of Migratory Bird Populations and its Trends in North-West Russia; St.-Petersburg;8;14-29;;Results of observations on the spring passage at the Solovetsky Archipelago in 2009;; White Sea, bird migration;The observations on bird migration on the Bolshoy Solovetsky Island were conducted from the 2nd to the 31st of May 2009 excluding the 11th and the 22nd of May. The observation site was situated on the Cape Zapadny Pechak in the southern part of the Bolshoy Solovetsky Island (64°57'24'' N, 35°44'10'' E). The count route 4 km long passed along the littoral zone, coastal meadows and crooked birch forest. Altogether 102 hîurs were spent at the observation site (4 hours a day) and 100 km (60 hours) were covered by en-route counts. In total about 61 000 birds (more than 32 000 during en-route counts and more than 28 000 at the observation site) of 106 species were observed (Table 1). They represented the orders of Gaviiformes, Anseriformes, Falconiformes, Charadriiformes, and Passeriformes. The most abundant species at the passage were the Dunlin and Arctic Tern. The prevailing direction was to the east along the southern coast of the Bolshoy Solovetsky Island. The minority of birds flew to the north along the western coast of the island. Very few species crossed the island straight on. The data obtained prove the significance of the southern part of the Bolshoy Solovetsky Island as the stîpover place during spring migration in the Dunlin. This territory is a part of the Solovetsky State History and Architecture Museum and Reserve and is included in the list of Important Bird Areas of Russia of international significance (Semashko et al., 2000). The current protection regime (as long as the hunting is prohibited) seems sufficient. Though, the significance of this region is to be taken to account in case of transportation of oil products through the adjoining water areas. The monitoring of the littoral zone and hydrobiological studies would be expedient.; Russian;
;804; I. P. Tatarinkova;2010;; Migration routes and stopovers of migrants on the western Murman; Study of the dynamics of Migratory Bird Populations and its Trends in North-West Russia; St.-Petersburg;8;94-96;; Migration routes and stopovers of migrants on the western Murman;; Western Murman, Barents Sea, birds migration;On the western Murman stationary observations on bird migrations were conducted on Ainovy Islands in 1963—2002. These islands lie in Varangerfjord 30 km apart from continental coast in the south and only 3—5 km apart in the east. On the Sredny Peninsula in the east and Rybachy in the northeast fragmentary observations were done and local people were questioned. On the Bolshoy Ainov Island yearly observations were conducted from late April to late September, however in some years they could start in early March and finish in November or December. The birds were count once in 3—5 days on the 7 km long route around the island. The most abundant species among migrants in the region of observations were: Greylag Goose Anser anser, Great Black-backed Larus marinus and Herring L. argentatus Gulls, Common Somateria mollissima, King S. spectabilis and Steller’s Polisticta stelleri Eiders, Long-tailed Duck Clangula hyemalis, Goosander Mergus merganser, Purple sandpiper Calidris maritima, Dunlin C. alpina, Ruff Philomachus pugnax, Snow Bunting lectrophenax nivalis, Horned Lark Eremophila alpestris, Common Redpol Acanthis flammea.; Russian;
;800; T. Aarvak, Krasnov, Y.V., GavriIo, M.V., Shavykin, A.A.;;; Wintering grounds of marine ducks in the Barents and White Seas, distribution and numbers;;2011;;7-8;9-11 November 2011; Wintering grounds of marine ducks in the Barents and White Seas, distribution and numbers;; Barents Sea, White Sea, marine ducks;; Russian;
;865; V. V. Bianki;2011; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); Causes of changes in the numbers of coastal birds in the Kandalaksha Bay in the second half of XX century;;;20;1373-1375;; Causes of changes in the numbers of coastal birds in the Kandalaksha Bay in the second half of XX century;;;; Russian;
;896; A. R. Gaginskaya, Semashko, V.Yu., Tertitsky, G.M., Cherenkov, A.E;2011; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); Notes on migrations and wintering places of the Lesser Black-backed Gull Larus fuscus fuscus;;;20;2-8;; Notes on migrations and wintering places of the Lesser Black-backed Gull Larus fuscus fuscus;;;; Russian;
;870; M. V. Gavrilo;2011;;Bird fauna and population of selected high-latitudinal Western Arctic islands. Based on data obtained during IPY 2007/08 study.;; Moscow;;344-364;;Bird fauna and population of selected high-latitudinal Western Arctic islands. Based on data obtained during IPY 2007/08 study.;;;; Russian;
;871; M. V. Gavrilo;2011;; The breeding habitats of the Ivory Gull Pagophila eburnea in the Russian Arctic ;; Makhachkala;1;273-287;; The breeding habitats of the Ivory Gull Pagophila eburnea in the Russian Arctic ;;;; Russian;
;835; Y. I. Goryaev, Goryaeva, A.A., Tatarinkova, I.P.;2011; Berkut ; Large gulls in man-made landscapes of the Western Murman (Kola Peninsula) Russian;;;20;90-110;; Large gulls in man-made landscapes of the Western Murman (Kola Peninsula) Russian;;;Ecological peculiarities of Herring and Great Blackbacked Gulls living on the coast and islands in the area of the Kola Bay and actively using man-made landscape as feeding habitat were investigated for the first time in 2008–2011 during the period April – August. In conditions of shortage of the fish food in the sea, here is formed a large group of seagulls (Herring Gull makes the overwhelming majority). It constitutes a substantial proportion of the modern population of gulls of Murman (presumably 3000–4000 breeding pairs, 14000–20000 mature and immature individuals). On average for 4 years, the number of gulls of both species, periodically visiting the Murmansk rubbish dump during the summer season, defined by method of labeling with the re-registration, made up 16450 ± 1204 individuals. From 2008 to 2011, аccording to these records, the number of birds increased in about 3.2 times – from 8500 (± 904) to 27600 (± 1864) individuals. Herring and Great Black-backed Gulls nested in mixed colonies (ranging from 0.2 to 11 ha.) in most of the islands in the study area (a total of 42 islands ranging from 0.2 to 130 ha.). The population density made up respectively 37–100 and 1–2 pairs/ha. of the colony. The average clutch size of Herring Gulls on a permanent test area on the Shalim island was in 2009 2.88 ± 0.07, in 2010 – 2.90 ± 0.07, in 2011 – 2.80 ± 0.04 eggs. The difference in mass of the largest and smallest eggs for 3-egg clutches was on average 5.8 ± 0.44 g (n = 150), the average weight of eggs made up 93.0 ± 0.49 g (n = 220). Average daily weight gain of chicks of Herring Gull during 5–33 days was about 25 g (y = 24.85x +31251). Survival of chicks in 2009 and 2011 at 31st day was about 0.55 per pair (taking into account the possible errors – up to 1 chick per pair). The average body weight of mature females and males of Herring Gull (n = 46 and 45) was in July respectively 982 ± 10,5 g and 1211 ± 13,4. The basis of the diet of adult birds and their chicks were the waste.; Russian;
;861; Y. V. Krasnov, Goryaev, Yu.I., Ezhov, A.V., Ivanenko, N.Yu.;;; Changes in the Laridae areas in the region of the Kola Peninsula;;2011;;99-101;9-11 November; Changes in the Laridae areas in the region of the Kola Peninsula;;;; Russian;
;895; G. M. Tertitski, Pokrovskaya, I.V.;2011; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); On avifauna and bird population of Novaya Zemlya;;;20;1827-1836;; On avifauna and bird population of Novaya Zemlya;;;; Russian;
;830; I. V. Borkin;2012; Vestnik Baltiskogo Universiteta (IKBFU's Vestnik); On the role of Arctic cod in the nutrition of abundant bird species of the Barents Sea;;;1;107-115;; On the role of Arctic cod in the nutrition of abundant bird species of the Barents Sea;;; This article analyses the role of Arctic cod—the most abundant representative of Arctic fish fauna in the food web of the Barents Sea ecosystems. The author estimates the degree of its consumption by the most abundant seabirds-ichthyophagist (northern fulmar, Brünnich's guillemot, black-legged kittiwake) and performs calculations that can serve as a basis for bio resource forecasting for the Barents Sea in order to minimize the damage to the ecosystem and water area biodiversity; Russian;
;878; I. V. Borkin;2012; Vestnik Krasnoyarskogo Agrarnogo Universiteta (The Bulletin of KrasGAU); The polar cod in nutrition of Вrunnich's Guillemot and Northern Fulmar – the most abundant piscivorous seabirds in the Barents Sea;;;10;76-81;; The polar cod in nutrition of Вrunnich's Guillemot and Northern Fulmar – the most abundant piscivorous seabirds in the Barents Sea;;; The analysis of the Polar cod – the Arctic ichthyofauna largest representative role – in the Barents Sea trophic ecosystem net is given in the article. Its percentage and share of consumption by the most numerous seabirds-ichthyophagists (вrünnich´s guillemot and northern fulmar) are shown. The calculations that can serve as the basis for the Barents Sea bio-resources usage forecast in order to minimize damage to the ecosystem and to preserve biodiversity conservation area are given.; Russian;
;887; A. E. Cherenkov, Semashko, V.Yu., Tertitski, G.M. ;2012;; Long-term population dynamics and breeding biology specifics of Lesser Black-backed Gull (Larus fuscus fuscus) on islands in the Onega Bay of the White Sea.;; Apatity;;128-140;; Long-term population dynamics and breeding biology specifics of Lesser Black-backed Gull (Larus fuscus fuscus) on islands in the Onega Bay of the White Sea.;;;Currently breeding population of Lesser Black-backed Gull (Larus fuscus fuscus) nominative subspecies on the Onega Bay islands is 2000-2100 pairs, of which over 50% pairs breeds on the Solovetskiy Archipelago. Within 30 years (from 1960s to 1990s) the species population grew nearly 3.5 times on the colonies surveyed by V.V. Bianki, and 6 times comparing to the total estimated number. On Solovki, where colonies are monitored annually, within years 1990-2000 continuous population was registered until year 2006. Major part (over 60 %) of Lesser Black-backed Gull in the White Sea area breeds in 7 big (over 100 pairs) colonies. Three of the colonies locate on Solovki (Parusny Isl., N-W Sennaya Luda, Krasivy Isl.), two colonies are in the southern area of the bay (Tonkaya Osinka, Sennaya Luda), one in the central part of the bay (Krestovaya Salma Luda) and one in Kem’ skerries (Severny Rombak). Long-term average annual of the LBBG egg-laying size is 2.44.; Russian;
;860; A. V. Ezhov;;; Resistance of Kittiwakes colonies (RISSA TRIDACTYLA) In the Barents regions in modern conditions;;2012;;154-159;; Resistance of Kittiwakes colonies (RISSA TRIDACTYLA) In the Barents regions in modern conditions;;;; Russian;
;805; A. S. Koryakin;2012; Zoologicheski zhurnal (Zoological journal);Monitoring of seabirds in Kandalaksha Bay of the White Sea (1967–2010);;;91;800-808;;Monitoring of seabirds in Kandalaksha Bay of the White Sea (1967–2010);; White Sea, seabirds number, monitoring;The paper presents data of the Nature Chronicle of the Kandalaksha State Nature Reserve on nesting seabirds counts (common eider, turnstone, oystercatcher, herring, great blackbacked and common gulls) in the reserved areas of the Kandalaksha Bay for 1967–2010. The reserved territory was significantly enlarged in 1967–1977 resulted in the increase of the number of all species. The common eider population had two peaks of the numbers (1967 and 1997). In 1960–1980, helminthiasis and disturbance of broods influenced the eider reproduction. Since the early 1990s, the predation during incubational periods was the main factor limiting the eider reproduction. After rising the number of populations of turnstone, oystercatcher, and common gull, there were relatively stable periods followed by a gradual decline in their numbers. In herring and great black-backed gulls, peaks in their numbers were immediately substituted for a sharp decline. After 1995, the number of nesting pairs in all these species became lower. Presently, the main factor that limits the reproduction success and determines the distribution of nest colonies in seabirds is predation. The main predators are brown bear and whitetailed sea eagle. In the period of increasing the populations of seabird, both species had minimal numbers. In the 1990s, their number quickly increased resulting from ceasing of hunt (bear) and efficient protection of the species (whitetailed sea eagle).; Russian;
;883; Y. V. Krasnov;2012;;Results of ornithological researches in the White Sea in summer 2006;; Apatity;;12-31;;Results of ornithological researches in the White Sea in summer 2006;;;Materials characterizing avifauna of various areas of the White Sea were obtained during surveys from a board of the research vessel in summer 2006. Significant differences in avifauna of the surveyed parts of Basin of the White Sea, Kandalaksha Bay and Onega Bay are revealed. In Basin number of birds is at minimum value. Contrariwise density of distribution of some species can reach high values in pelagic areas of Kandalaksha Bay and Onega Bay. Females and immature birds of Common Eider (Somateria mollissima), males of Goosander (Mergus merganser) and Herring Gull (Larus argentatus) in Kandalaksha Bay and Common Eider males, Black Scoter (Melanitta nigra) and Lesser Black-backed Gull (Larus fuscus fuscus) in Onega Bay have high density of distribution.; Russian;
;884; Y. V. Krasnov;2012;; Study of Common Eider (Somateria mollissima) population in the White Sea;; Apatity;;31-44;; Study of Common Eider (Somateria mollissima) population in the White Sea;;; Borders of distribution areas of the White Sea population and Murman population of Common Eider (Somateria mollissima) during nesting, molting and wintering period are described on the basis of analysis of the literary and original data. Common Eiders from Murman population were found to breed on islands along Terskiy coast of the White Sea. Males of Common Eiders molting along Terskiy coast were confirmed to belong to Murman population. Population status of Common Eiders wintering along Terskiy coast has not been resolved definitively till recent time; Russian;
;885; Y. V. Krasnov, Goryaev, Yu.I.;2012;; The results of summer observations over birds on the western coast of the Gorlo of the White $ea;; Apatity;;105-129;; The results of summer observations over birds on the western coast of the Gorlo of the White $ea;;;Ornithological investigations were conducted on a part of Terskiy coast of the White Sea in summer period of 2003, 2004 and 2007. Species composition of habitant birds, their status and number was defined. Coastal areas and adjacent waters were found to be important for waterfowl during molting and migrating periods. Large colonies of the Tern (Sterna paradisaea) were found.; Russian;
;886; Y. V. Krasnov, Spiridonov, V.A., Dobrynin, D.V. ;2012;; Seabirds in the Eastern Murman and northern part of the White Sea in summer period: features of distributions and differences of forage resources ;; Apatity;;44-66;; Seabirds in the Eastern Murman and northern part of the White Sea in summer period: features of distributions and differences of forage resources ;;;Features of distribution of avifauna in border waters of the Barents Sea and the White Seas were studied in June, 2004. Data of number and density of distribution of birds was collected during accounts from a vessel board in coastal waters of Murman, in Voronka and Gorlo of the White Sea. In total 32 species of seabirds and waterfowls were registered. A number of colonial seabirds, were common and reaching high number at Murman coast Shag (Phalacrocorax aristotelis), both Guillemot species (Uria spp.), Puffin (Fratercula arctica), didn't extend in waters of Voronka of the White Sea eastward from Svyatoi Nos Cape. The other species of colonial seabirds, such the Fulmar (Fulmarus glacialis) and Kittiwake (Rissa tridactyla) penetrate into the Voronka of the White Sea, but their number sharply decreased in comparison with number in coastal waters of Murman. Species were common in coastal waters of Murman (Razorbill (Alca torda), Arctic Skua (Stercorarius parasiticus), Arctic Tern (Sterna paradisaea), sea ducks), were found either in the Barents Sea or in the northern part of the White Sea. Glaucous Gulls (Larus hyperboreus), Heuglini Gulls (Larus heuglini) and Long-tailed Skuas (Stercorarius longicaudus) were typical mainly in waters of Gorlo and adjacent Voronka areas. A sharp change in characteristics of pelagic ecosystems on a border between the Barents Sea and the White Sea defines feeding conditions for seabirds and first of all for colonial species of them. It resulted in considerable differences in species composition of avifauna and distributions of birds on the both sides from Svyatoi Nos Cape and points border between the Barents Sea and the White Sea easily distinguished at crossing onboard a vessel.; Russian;
;888; Y. V. Krasnov, Shklyarevich, G.A., Goryaev, Yu.I.;2012;; Feeding habits of Common Eider (Somaterie mollissima) in the White Sea;; Apatity;;67-105;; Feeding habits of Common Eider (Somaterie mollissima) in the White Sea;;;Common Eider (Somateria mollissima) is one of the most numerous seabird species of the White Sea. Abondance and size of this seaduck determine its role in ecosystem of the White Sea. Food composition in different parts of the White Sea: in Kandalaksha Bay, in Onega Bay and in several areas of Terskiy coast was analyzed by methods of excrement examination in 2000-2006. Comparisons were made of food composition in winter and summer in Kandalaksha Bay. A variety of benthic organisms, also fish (cod Gadus morhua marisalbi and herring Clupea pallasii marisalbi) and insects in some cases were found in Common Eider food composition. Molluscs dominated food composition of this marine duck species. Different species of bivalves with blue mussels Mytilus edulis among them and gastropods sometimes dominated Common Eider food composition depending on study area. In some parts of the Kandalaksha Bay and in all study areas of Onega Bay and Terskiy coast, the importance of blue mussels was again low. This study showed the geographic variability of the Common Eider diet, some reasons of this variability is discussed. Feeding behavior of Common Eider is very flexible which allows effective foraging either on benthos or on moving objects such as fish. Under given conditions, a bird feeds on the most numerous of accessible food items. Large-scale geographical variations in Common Eider diet composition prevail over the seasonal and sexual trophic relations differences.; Russian;
;815; V. O. Mokievsky, , Popovkina, A.B., Poyarkov, N.D., Tsetlin, A.B., Zhadan, A.E., Isachenko, A.Yu. ;2012; Zoologicheskii Zhurnal (Zoological Journal); Foraging of Common Eider (Somateria mollissima) wintering in Vekikaya Salma strait (Kandalaksha Bay, the White Sea);;;91;887-896;; Foraging of Common Eider (Somateria mollissima) wintering in Vekikaya Salma strait (Kandalaksha Bay, the White Sea);;;The foraging habits and diet of common eider (Somateria mollissima) were studied in the Velikaya Salma Strait (the Kandalaksha Bay, the White Sea (66°34′ N, 33°07′ E) in March, 2001 and 2002. The number of common eiders in the study area was estimated at 650 ± 30 ind. in both years. In early March, the eiders fed mainly at the depths of 15–17 m, while in late March and early April, they preferred to stay close to the ice edge. Du rations of the dive bouts (time spent under water and on the surface) significantly correlated with the depth; Russian;
